run_id,split,cv_rate_pct,n_gt,n_baseline_eval,n_corrected_eval,mae_baseline_sec,rmse_baseline_sec,maxae_baseline_sec,abc_baseline_vehicle_sec,mae_corrected_sec,rmse_corrected_sec,maxae_corrected_sec,abc_corrected_vehicle_sec,mae_improvement_sec,mae_improvement_pct,rmse_improvement_sec,rmse_improvement_pct,maxae_improvement_sec,maxae_improvement_pct,abc_improvement_vehicle_sec,abc_improvement_pct
5,train,10,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,5.517165609189921,9.123447021288813,48.500000000000114,7409.553413142068,13.57721020773652,71.10580800290334,12.978752094036976,58.721541808196974,9.714390503700884,16.687266532633867,18234.19330899018,71.10580800290336
6,train,10,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,5.292233729369689,8.429178011965941,65.10009765625,6303.050371679297,9.883572703082574,65.12716636888129,9.998671739614437,54.25848308078889,-10.666103233265858,-19.594562821137036,11771.335089371341,65.12716636888129
7,train,10,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,4.2445592699578105,6.627145984942073,30.413676201146927,5568.861762184641,12.46372753220945,74.59608324770171,12.76407834546996,65.82399402935866,17.291987799970684,36.24724267450838,16352.410522258799,74.59608324770174
8,train,10,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,5.482284765029185,9.152932543296092,44.463601469989044,6967.983936352099,10.545221109800561,65.79452344086306,9.953711950425056,52.09555217137189,10.314430416923415,18.829501648064383,13402.97603055654,65.79452344086309
9,train,10,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,4.986630885750631,8.373191173446411,66.56268738095514,6941.3901929648755,14.7264826834801,74.70399149156209,14.112523099126985,62.76217392097932,-11.730613490533642,-21.393707474892427,20499.263895404296,74.70399149156212
10,train,10,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,7.076180326276839,12.13429786913593,50.70001220703125,9609.45288308394,8.784254531747969,55.38470168302764,7.059192796573013,36.779098286613156,-1.5796548097348193,-3.215886230139203,11929.017654113766,55.384701683027714
11,test,10,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,4.842132878640314,7.658393345680744,41.78536639307242,6512.668721771226,13.019564608044366,72.89097028851839,13.011432880468298,62.948922444291085,13.471179215127336,24.379336541675325,17511.314397819697,72.8909702885184
12,test,10,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,5.248455870383028,9.002725683393967,47.10009765625,6613.054396682604,10.748577355562022,67.1910672669559,10.091626396688989,52.85136858461628,2.3893741256392786,4.828045318749336,13543.207468008186,67.19106726695598
13,test,10,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,6.277051723144551,10.902503121957022,61.938065628861295,8066.011464240752,11.073007897730315,63.82115185591486,9.560947672051359,46.72206935328213,-9.309564069846374,-17.68920602728372,14228.815148583473,63.821151855914884
14,test,10,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,5.867448970700421,9.67367726830341,57.479881434351455,7932.791008386965,10.183380466707169,63.444574664621896,10.150869117320886,51.20353787606336,-5.002027608880951,-9.531692407842298,13767.930390988073,63.44457466462188
